#Annotated with Bakta v1.8.2, https://github.com/oschwengers/bakta
#Database v5.0, https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Start	Stop	Strand	Locus Tag	Mol Weight [kDa]	Iso El. Point	Pfam hits	Dbxrefs
pQG3rel04_contig_1	3954	4268	-	pQG3rel04_00025	11.2	8.9		RefSeq:WP_253512327.1, SO:0001217, UniParc:UPI00209F3701, UniRef:UniRef100_UPI00209F3701, UniRef:UniRef50_UPI00209F3701, UniRef:UniRef90_UPI00209F3701
pQG3rel04_contig_1	4283	4450	-	pQG3rel04_00030	5.8	8.2		RefSeq:WP_253512330.1, SO:0001217, UniParc:UPI00209DC14A, UniRef:UniRef100_UPI00209DC14A, UniRef:UniRef50_UPI00159195B3, UniRef:UniRef90_UPI00209DC14A
pQG3rel04_contig_1	4950	5258	-	pQG3rel04_00040	10.7	4.1		RefSeq:WP_253512336.1, SO:0001217, UniParc:UPI0020A1E5EE, UniRef:UniRef100_UPI0020A1E5EE, UniRef:UniRef50_UPI0020A1E5EE, UniRef:UniRef90_UPI0020A1E5EE
pQG3rel04_contig_1	7067	7219	-	pQG3rel04_00065	5.3	8.0		
pQG3rel04_contig_1	13201	13632	-	pQG3rel04_00125	16.8	5.3	PF04326.17|AlbA_2	PFAM:PF04326.17
pQG3rel04_contig_1	27270	27413	+	pQG3rel04_00195	5.3	11.5		
pQG3rel04_contig_1	30468	30650	+	pQG3rel04_00215	6.5	5.0		
pQG3rel04_contig_1	33629	33898	+	pQG3rel04_00240	9.5	8.2		
pQG3rel04_contig_1	43382	43642	-	pQG3rel04_00285	10.3	10.2		
pQG3rel04_contig_1	50671	51171	-	pQG3rel04_00345	18.1	9.6	PF00092.31|VWA	PFAM:PF00092.31
pQG3rel04_contig_1	57372	57674	-	pQG3rel04_00385	10.7	9.9		
pQG3rel04_contig_1	59090	59374	+	pQG3rel04_00405	11.1	10.8		
pQG3rel04_contig_1	61797	61991	+	pQG3rel04_00425	7.6	7.9		RefSeq:WP_253512520.1, SO:0001217, UniParc:UPI00209D3E91, UniRef:UniRef100_UPI00209D3E91, UniRef:UniRef50_UPI00209D3E91, UniRef:UniRef90_UPI00209D3E91
pQG3rel04_contig_1	62268	62504	+	pQG3rel04_00435	8.8	6.2		RefSeq:WP_253512526.1, SO:0001217, UniParc:UPI0020A0651D, UniRef:UniRef100_UPI0020A0651D, UniRef:UniRef50_UPI001C7CA06B, UniRef:UniRef90_UPI0020A0651D
pQG3rel04_contig_1	64417	64731	+	pQG3rel04_00455	11.1	4.6		RefSeq:WP_253512538.1, SO:0001217, UniParc:UPI0020A17CBA, UniRef:UniRef100_UPI0020A17CBA, UniRef:UniRef50_UPI0003BB2D3A, UniRef:UniRef90_UPI0003BB2D3A
pQG3rel04_contig_1	101224	101448	+	pQG3rel04_00625	8.2	4.7		
pQG3rel04_contig_1	103767	103943	+	pQG3rel04_00645	6.4	11.8		RefSeq:WP_253512635.1, SO:0001217, UniParc:UPI0020A0F8FF, UniRef:UniRef100_UPI0020A0F8FF, UniRef:UniRef50_UPI0020A0F8FF, UniRef:UniRef90_UPI0020A0F8FF
pQG3rel04_contig_1	104122	104238	-	pQG3rel04_00650	4.7	9.1		
pQG3rel04_contig_1	104541	104789	-	pQG3rel04_00655	9.1	8.0		
pQG3rel04_contig_1	105305	105574	-	pQG3rel04_00660	9.6	8.0		
pQG3rel04_contig_1	105636	105854	+	pQG3rel04_00665	7.7	10.3		
pQG3rel04_contig_1	105890	106441	+	pQG3rel04_00670	20.5	9.8		
pQG3rel04_contig_1	108610	108903	-	pQG3rel04_00685	10.3	9.5		
pQG3rel04_contig_1	110983	111207	+	pQG3rel04_00700	8.0	5.9		
pQG3rel04_contig_1	112187	112453	+	pQG3rel04_00715	10.0	9.1		
pQG3rel04_contig_1	127165	127401	-	pQG3rel04_00825	8.3	5.2		
