#Annotated with Bakta v1.8.2, https://github.com/oschwengers/bakta
#Database v5.0, https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Start	Stop	Strand	Locus Tag	Mol Weight [kDa]	Iso El. Point	Pfam hits	Dbxrefs
pQBR56_contig_1	16425	16994	+	PQBR56_00135	20.4	8.6		SO:0001217, UniRef:UniRef50_UPI0018675808, UniRef:UniRef90_UPI0018675808
pQBR56_contig_1	18321	18689	+	PQBR56_00150	12.7	8.6		
pQBR56_contig_1	20146	20364	+	PQBR56_00170	8.4	10.5		
pQBR56_contig_1	49439	49537	+	PQBR56_00290	3.6	8.4		
pQBR56_contig_1	93960	94199	+	PQBR56_00495	9.0	5.7		
pQBR56_contig_1	113102	113287	-	PQBR56_00600	7.0	5.1		
pQBR56_contig_1	120516	120734	-	PQBR56_00640	7.7	10.8		
pQBR56_contig_1	127630	127899	-	PQBR56_00680	9.6	4.3		
pQBR56_contig_1	139697	139981	+	PQBR56_00770	10.5	4.8		RefSeq:WP_192963310.1, SO:0001217, UniParc:UPI001867A904, UniRef:UniRef100_UPI001867A904, UniRef:UniRef50_UPI001867A904, UniRef:UniRef90_UPI001867A904
pQBR56_contig_1	201997	202398	+	PQBR56_01140	14.2	6.4		
pQBR56_contig_1	207182	207448	+	PQBR56_01170	10.4	6.1		RefSeq:WP_192963381.1, SO:0001217, UniParc:UPI0006557034, UniRef:UniRef100_A0A0G4E4U7, UniRef:UniRef50_A0A0G4E4U7, UniRef:UniRef90_A0A0G4E4U7
pQBR56_contig_1	233708	233935	+	PQBR56_01375	8.3	9.7		RefSeq:WP_192963417.1, SO:0001217, UniParc:UPI001868CA40, UniRef:UniRef100_UPI001868CA40, UniRef:UniRef50_UPI001868CA40, UniRef:UniRef90_UPI001868CA40
pQBR56_contig_1	246591	246824	-	PQBR56_01495	8.5	7.8		RefSeq:WP_192963439.1, SO:0001217, UniParc:UPI0018695D22, UniRef:UniRef100_UPI0018695D22, UniRef:UniRef50_UPI0018695D22, UniRef:UniRef90_UPI0018695D22
pQBR56_contig_1	253688	253918	-	PQBR56_01555	8.0	9.7		
pQBR56_contig_1	254581	254829	+	PQBR56_01570	9.6	9.7		
pQBR56_contig_1	255666	255926	+	PQBR56_01580	9.4	10.8		
pQBR56_contig_1	263983	264087	-	PQBR56_01655	3.5	8.5		
pQBR56_contig_1	264490	264657	-	PQBR56_01665	6.1	4.4		
pQBR56_contig_1	274857	275381	-	PQBR56_01755	18.4	6.7		
pQBR56_contig_1	281095	281430	+	PQBR56_01815	12.0	5.1		RefSeq:WP_192963494.1, SO:0001217, UniParc:UPI0018663920, UniRef:UniRef100_UPI0018663920, UniRef:UniRef50_UPI0018663920, UniRef:UniRef90_UPI0018663920
pQBR56_contig_1	285003	285140	+	PQBR56_01845	4.8	11.0		
pQBR56_contig_1	304757	305437	-	PQBR56_01975	24.8	11.1		
