# Annotated with Bakta
# Software: v1.8.2
# Database: v5.0, full
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
pQBR11d_contig_1	cds	1	1131	+	PQBR11D_00005		Replication protein	SO:0001217, UniRef:UniRef50_A0A3M3DPG4, UniRef:UniRef90_A0A3M3DPG4
pQBR11d_contig_1	cds	1228	1473	-	PQBR11D_00010		Phage portal protein	RefSeq:WP_155007412.1, SO:0001217, UniParc:UPI0012B9AF55, UniRef:UniRef100_A0A7Y0WJU3, UniRef:UniRef50_A0A6I1NJG0, UniRef:UniRef90_A0A7Y0WJU3
pQBR11d_contig_1	cds	2550	2993	+	PQBR11D_00015	lrgA	Antiholin-like protein LrgA	RefSeq:WP_078465895.1, SO:0001217, UniParc:UPI00099882E3, UniRef:UniRef100_A0A7Y0WK04, UniRef:UniRef50_A0A1X0ZH10, UniRef:UniRef90_A0A7Y0WK04
pQBR11d_contig_1	cds	2993	3403	+	PQBR11D_00020		Peroxin-19	RefSeq:WP_078465894.1, SO:0001217, UniParc:UPI000997BB95, UniRef:UniRef100_A0A7Y0WJY1, UniRef:UniRef50_A0A1D3K7H8, UniRef:UniRef90_A4V7E3
pQBR11d_contig_1	cds	3400	3729	+	PQBR11D_00025		Peroxin-19	RefSeq:WP_078465893.1, SO:0001217, UniParc:UPI00099677B8, UniRef:UniRef100_A0A7Y0WK49, UniRef:UniRef50_A4V7E4, UniRef:UniRef90_A4V7E4
pQBR11d_contig_1	cds	3726	4004	-	PQBR11D_00030		DUF5598 domain-containing protein	SO:0001217, UniParc:UPI000997BCBB, UniRef:UniRef100_A0A1T1IXL6, UniRef:UniRef50_A0A3M3DPP4, UniRef:UniRef90_A0A3M3DPP4
pQBR11d_contig_1	cds	4163	4558	+	PQBR11D_00035		Response regulatory domain-containing protein	RefSeq:WP_078465891.1, SO:0001217, UniParc:UPI00099615DC, UniRef:UniRef100_A0A7Y0WK09, UniRef:UniRef50_A0A3M3DQF6, UniRef:UniRef90_A4V7E5
pQBR11d_contig_1	cds	4567	5199	+	PQBR11D_00040		Lipoprotein	RefSeq:WP_169904130.1, SO:0001217, UniParc:UPI0014765DDE, UniRef:UniRef100_A0A7Y0ZDR2, UniRef:UniRef50_A4V7E6, UniRef:UniRef90_A4V7E6
pQBR11d_contig_1	cds	5196	5543	+	PQBR11D_00045		Conserved domain protein	RefSeq:WP_011923250.1, SO:0001217, UniParc:UPI00015066BE, UniRef:UniRef100_A4V7E7, UniRef:UniRef50_A0A0C2S1G5, UniRef:UniRef90_A4V7E7
pQBR11d_contig_1	cds	5554	6021	+	PQBR11D_00050		Conserved domain protein	RefSeq:WP_169904131.1, SO:0001217, UniParc:UPI00147570D9, UniRef:UniRef100_A0A7Y0ZDG5, UniRef:UniRef50_A0A0C2MQG6, UniRef:UniRef90_A0A3M3DP95
