#Annotated with Bakta v1.8.2, https://github.com/oschwengers/bakta
#Database v5.0, https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Start	Stop	Strand	Locus Tag	Mol Weight [kDa]	Iso El. Point	Pfam hits	Dbxrefs
pQBR50d_contig_1	50861	50986	-	PQBR50D_00270	4.3	5.5		
pQBR50d_contig_1	110876	111085	-	PQBR50D_00545	6.9	4.5		
pQBR50d_contig_1	112316	112453	+	PQBR50D_00560	4.8	6.0		
pQBR50d_contig_1	114036	114191	+	PQBR50D_00585	5.7	4.5		RefSeq:WP_234288219.1, SO:0001217, UniParc:UPI001F17EDEF, UniRef:UniRef100_UPI001F17EDEF, UniRef:UniRef50_UPI001F17EDEF, UniRef:UniRef90_UPI001F17EDEF
pQBR50d_contig_1	138749	139159	-	PQBR50D_00705	14.9	4.9		
pQBR50d_contig_1	161084	161278	-	PQBR50D_00820	6.6	4.5		
pQBR50d_contig_1	186922	187155	+	PQBR50D_00975	8.4	6.0		RefSeq:WP_193069103.1, SO:0001217, UniParc:UPI0018676085, UniRef:UniRef100_UPI0018676085, UniRef:UniRef50_UPI0018676085, UniRef:UniRef90_UPI0018676085
pQBR50d_contig_1	208443	208871	-	PQBR50D_01115	15.8	4.4		RefSeq:WP_193069118.1, SO:0001217, UniParc:UPI00186696EF, UniRef:UniRef100_UPI00186696EF, UniRef:UniRef50_UPI00186696EF, UniRef:UniRef90_UPI00186696EF
pQBR50d_contig_1	208898	209533	-	PQBR50D_01120	22.4	6.0		SO:0001217, UniRef:UniRef50_UPI0003027605, UniRef:UniRef90_UPI0003027605
pQBR50d_contig_1	209918	210235	-	PQBR50D_01130	12.0	9.7		RefSeq:WP_193069121.1, SO:0001217, UniParc:UPI00186740E3, UniRef:UniRef100_UPI00186740E3, UniRef:UniRef50_A0A166QN72, UniRef:UniRef90_UPI00186740E3
pQBR50d_contig_1	210666	210875	+	PQBR50D_01135	6.9	4.5		
pQBR50d_contig_1	217030	217125	-	PQBR50D_01170	3.5	10.8		
pQBR50d_contig_1	247075	247248	-	PQBR50D_01350	6.4	9.2		
pQBR50d_contig_1	265346	265534	+	PQBR50D_01455	6.6	8.8		
pQBR50d_contig_1	273665	273850	+	PQBR50D_01530	6.7	8.1		RefSeq:WP_193068968.1, SO:0001217, UniParc:UPI001867877B, UniRef:UniRef100_UPI001867877B, UniRef:UniRef50_A0A3M3DPV0, UniRef:UniRef90_UPI001867877B
pQBR50d_contig_1	276398	276559	-	PQBR50D_01555	5.7	5.8		RefSeq:WP_193068971.1, SO:0001217, UniParc:UPI00186823AD, UniRef:UniRef100_UPI00186823AD, UniRef:UniRef50_UPI00186823AD, UniRef:UniRef90_UPI00186823AD
pQBR50d_contig_1	284802	284969	-	PQBR50D_01625	6.1	11.6		
pQBR50d_contig_1	310095	310208	+	PQBR50D_01845	4.3	6.5		
pQBR50d_contig_1	358758	358877	-	PQBR50D_02170	4.5	8.9		
pQBR50d_contig_1	360894	361223	+	PQBR50D_02180	12.1	4.7		
pQBR50d_contig_1	389026	389145	-	PQBR50D_02330	4.5	8.9		
pQBR50d_contig_1	429241	429387	+	PQBR50D_02595	5.4	8.3		
pQBR50d_contig_1	439587	439751	-	PQBR50D_02670	5.6	9.4		SO:0001217, UniRef:UniRef50_UPI0009F497D4, UniRef:UniRef90_UPI0009F497D4
pQBR50d_contig_1	451851	451970	+	PQBR50D_02725	4.5	8.9		
pQBR50d_contig_1	478839	479288	+	PQBR50D_02870	15.8	6.1		
pQBR50d_contig_1	482571	482936	+	PQBR50D_02890	13.9	9.3		
pQBR50d_contig_1	485882	487036	+	PQBR50D_02915	42.3	9.4		
pQBR50d_contig_1	487689	487808	+	PQBR50D_02920	4.5	8.9		
pQBR50d_contig_1	529210	529803	-	PQBR50D_03165	21.6	9.1		
pQBR50d_contig_1	544387	544665	-	PQBR50D_03255	10.1	10.8		
