#Annotated with Bakta v1.8.2, https://github.com/oschwengers/bakta
#Database v5.0, https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Start	Stop	Strand	Locus Tag	Mol Weight [kDa]	Iso El. Point	Pfam hits	Dbxrefs
pQG1rel09_contig_1	5699	5791	+	pQG1rel09_00055	3.1	11.0		
pQG1rel09_contig_1	67370	67534	+	pQG1rel09_00370	6.0	9.5		
pQG1rel09_contig_1	69180	69704	+	pQG1rel09_00385	19.2	9.3	PF07963.15|N_methyl	PFAM:PF07963.15
pQG1rel09_contig_1	128092	128214	-	pQG1rel09_00650	4.6	11.0		SO:0001217, UniParc:UPI000F3C22F9, UniRef:UniRef100_A0A3M3DQF8, UniRef:UniRef50_A0A3M3DQF8, UniRef:UniRef90_A0A3M3DQF8
pQG1rel09_contig_1	172643	172852	-	pQG1rel09_00875	8.3	11.1		SO:0001217, UniParc:UPI000F3CC813, UniRef:UniRef100_A0A3M3DS84, UniRef:UniRef50_A0A3M3DS84, UniRef:UniRef90_A0A3M3DS84
pQG1rel09_contig_1	182112	182222	-	pQG1rel09_00920	3.7	6.5		
pQG1rel09_contig_1	186341	186628	-	pQG1rel09_00945	9.9	5.7		SO:0001217, UniParc:UPI000F3D3663, UniRef:UniRef100_A0A3M3DP43, UniRef:UniRef50_A0A3M3DP43, UniRef:UniRef90_A0A3M3DP43
pQG1rel09_contig_1	239150	239344	+	pQG1rel09_01260	7.0	8.0		
pQG1rel09_contig_1	240384	241076	-	pQG1rel09_01275	25.4	10.5		SO:0001217, UniParc:UPI000B305995, UniRef:UniRef100_A0A3M3DQ49, UniRef:UniRef50_A0A3M3DQ49, UniRef:UniRef90_A0A3M3DQ49
pQG1rel09_contig_1	243434	243619	+	pQG1rel09_01305	6.6	9.3		SO:0001217, UniParc:UPI000AF54941, UniRef:UniRef100_A0A3M3DPV0, UniRef:UniRef50_A0A3M3DPV0, UniRef:UniRef90_A0A3M3DPV0
pQG1rel09_contig_1	331337	331462	+	pQG1rel09_01905	4.7	8.3		
pQG1rel09_contig_1	347334	347735	+	pQG1rel09_02035	15.0	7.9	PF08719.14|NADAR	PFAM:PF08719.14
pQG1rel09_contig_1	395876	396097	+	pQG1rel09_02410	7.9	6.6		SO:0001217, UniParc:UPI0006B96D17, UniRef:UniRef100_A0A3M3DSJ8, UniRef:UniRef50_A0A3M3DSJ8, UniRef:UniRef90_A0A3M3DSJ8
