# Annotated with Bakta
# Software: v1.8.2
# Database: v5.0, full
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
pQBR47p_contig_1	cds	1	1131	+	PQBR47P_00005		Replication protein	SO:0001217, UniParc:UPI00015066B7, UniRef:UniRef100_A0A7Y0WJV5, UniRef:UniRef50_A0A3M3DPG4, UniRef:UniRef90_A0A3M3DPG4
pQBR47p_contig_1	cds	2554	2997	+	PQBR47P_00010	lrgA	Antiholin-like protein LrgA	RefSeq:WP_078465895.1, SO:0001217, UniParc:UPI00099882E3, UniRef:UniRef100_A0A7Y0WK04, UniRef:UniRef50_A0A1X0ZH10, UniRef:UniRef90_A0A7Y0WK04
pQBR47p_contig_1	cds	2997	3407	+	PQBR47P_00015		Peroxin-19	RefSeq:WP_011923246.1, SO:0001217, UniParc:UPI00015066BA, UniRef:UniRef100_A4V7E3, UniRef:UniRef50_A0A1D3K7H8, UniRef:UniRef90_A4V7E3
pQBR47p_contig_1	cds	3404	3733	+	PQBR47P_00020		Peroxin-19	RefSeq:WP_011923247.1, SO:0001217, UniParc:UPI00015066BB, UniRef:UniRef100_A4V7E4, UniRef:UniRef50_A4V7E4, UniRef:UniRef90_A4V7E4
pQBR47p_contig_1	cds	3730	4008	-	PQBR47P_00025		DUF5598 domain-containing protein	RefSeq:WP_116827408.1, SO:0001217, UniParc:UPI00065A3327, UniRef:UniRef100_UPI00065A3327, UniRef:UniRef50_A0A3M3DPP4, UniRef:UniRef90_A0A3M3DPP4
pQBR47p_contig_1	cds	4167	4562	+	PQBR47P_00030		Response regulatory domain-containing protein	RefSeq:WP_011923248.1, SO:0001217, UniParc:UPI00015066BC, UniRef:UniRef100_A4V7E5, UniRef:UniRef50_A0A3M3DQF6, UniRef:UniRef90_A4V7E5
pQBR47p_contig_1	cds	4571	5203	+	PQBR47P_00035		Lipoprotein	RefSeq:WP_193069054.1, SO:0001217, UniParc:UPI000658AD95, UniRef:UniRef100_A4V7E6, UniRef:UniRef50_A4V7E6, UniRef:UniRef90_A4V7E6
pQBR47p_contig_1	cds	5200	5547	+	PQBR47P_00040		Conserved domain protein	RefSeq:WP_011923250.1, SO:0001217, UniParc:UPI00015066BE, UniRef:UniRef100_A4V7E7, UniRef:UniRef50_A0A0C2S1G5, UniRef:UniRef90_A4V7E7
pQBR47p_contig_1	cds	5558	6025	+	PQBR47P_00045		Conserved domain protein	RefSeq:WP_011923251.1, SO:0001217, UniParc:UPI00015192C8, UniRef:UniRef100_A4V7E8, UniRef:UniRef50_A0A0C2MQG6, UniRef:UniRef90_A0A3M3DP95
pQBR47p_contig_1	cds	6279	7058	+	PQBR47P_00050		DUF1376 domain-containing protein	RefSeq:WP_011923252.1, SO:0001217, UniParc:UPI00015192C9, UniRef:UniRef100_A4V7E9, UniRef:UniRef50_A0A1D3K7G8, UniRef:UniRef90_A0A1D3K7G8
