# Annotated with Bakta
# Software: v1.8.2
# Database: v5.0, full
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
pQG3rel02_contig_1	cds	1	1524	+	pQG3rel02_00005	dnaB	replicative DNA helicase	SO:0001217, UniRef:UniRef50_A0A522M6A2, UniRef:UniRef90_UPI001B33B480
pQG3rel02_contig_1	cds	1609	3006	+	pQG3rel02_00010	dnaB	replicative DNA helicase	COG:COG0305, COG:L, RefSeq:WP_210709935.1, SO:0001217, UniParc:UPI001B342EEE, UniRef:UniRef100_UPI001B342EEE, UniRef:UniRef50_A0A0H3YZB3, UniRef:UniRef90_C3KE71
pQG3rel02_contig_1	cds	3424	3978	+	pQG3rel02_00015	iclR	IclR family transcriptional regulator	RefSeq:WP_210709934.1, SO:0001217, UniParc:UPI001B336257, UniRef:UniRef100_UPI001B336257, UniRef:UniRef50_S2F660, UniRef:UniRef90_UPI0006CC610D
pQG3rel02_contig_1	cds	4250	4432	+	pQG3rel02_00020		Peptide chain release factor 2	RefSeq:WP_210709933.1, SO:0001217, UniParc:UPI001B339DC2, UniRef:UniRef100_UPI001B339DC2, UniRef:UniRef50_A0A0D5MA93, UniRef:UniRef90_UPI001B339DC2
pQG3rel02_contig_1	cds	4449	4769	+	pQG3rel02_00025		Hydrogenase maturation factor	RefSeq:WP_210709932.1, SO:0001217, UniParc:UPI001B328BBD, UniRef:UniRef100_UPI001B328BBD, UniRef:UniRef50_A0A7C9P9N6, UniRef:UniRef90_UPI001B328BBD
pQG3rel02_contig_1	cds	4812	5012	+	pQG3rel02_00030		hypothetical protein	RefSeq:WP_210709931.1, SO:0001217, UniParc:UPI001B334C97, UniRef:UniRef100_UPI001B334C97, UniRef:UniRef50_UPI0015A41CB5, UniRef:UniRef90_UPI001B334C97
pQG3rel02_contig_1	cds	5038	5172	+	pQG3rel02_00035		hypothetical protein	
pQG3rel02_contig_1	cds	5192	5317	+	pQG3rel02_00040		hypothetical protein	
pQG3rel02_contig_1	cds	5280	6275	+	pQG3rel02_00045		hypothetical protein	RefSeq:WP_210709930.1, SO:0001217, UniParc:UPI001B342B7B, UniRef:UniRef100_UPI001B342B7B, UniRef:UniRef50_UPI001B342B7B, UniRef:UniRef90_UPI001B342B7B
pQG3rel02_contig_1	cds	6324	6518	+	pQG3rel02_00050		Transcriptional regulator	RefSeq:WP_210709929.1, SO:0001217, UniParc:UPI001B319775, UniRef:UniRef100_UPI001B319775, UniRef:UniRef50_A0A0Q6YWI8, UniRef:UniRef90_A0A6I1NRT1
pQG3rel02_contig_1	cds	6535	7011	+	pQG3rel02_00055		N-acetyltransferase	RefSeq:WP_210709928.1, SO:0001217, UniParc:UPI001B32DD94, UniRef:UniRef100_UPI001B32DD94, UniRef:UniRef50_A0A0C2S1K1, UniRef:UniRef90_UPI001B32DD94
