#Annotated with Bakta v1.8.2, https://github.com/oschwengers/bakta
#Database v5.0, https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Start	Stop	Strand	Locus Tag	Mol Weight [kDa]	Iso El. Point	Pfam hits	Dbxrefs
pQG3rel02_contig_1	4812	5012	+	pQG3rel02_00030	7.2	10.0		RefSeq:WP_210709931.1, SO:0001217, UniParc:UPI001B334C97, UniRef:UniRef100_UPI001B334C97, UniRef:UniRef50_UPI0015A41CB5, UniRef:UniRef90_UPI001B334C97
pQG3rel02_contig_1	5038	5172	+	pQG3rel02_00035	5.1	8.1		
pQG3rel02_contig_1	5192	5317	+	pQG3rel02_00040	4.1	10.0		
pQG3rel02_contig_1	5280	6275	+	pQG3rel02_00045	38.2	5.7		RefSeq:WP_210709930.1, SO:0001217, UniParc:UPI001B342B7B, UniRef:UniRef100_UPI001B342B7B, UniRef:UniRef50_UPI001B342B7B, UniRef:UniRef90_UPI001B342B7B
pQG3rel02_contig_1	7440	7613	+	pQG3rel02_00065	6.4	4.1		
pQG3rel02_contig_1	7672	7842	+	pQG3rel02_00070	6.7	10.3		
pQG3rel02_contig_1	8410	8709	+	pQG3rel02_00080	11.4	8.7		SO:0001217, UniRef:UniRef50_UPI001B336F4B, UniRef:UniRef90_UPI001B336F4B
pQG3rel02_contig_1	9937	10137	+	pQG3rel02_00095	7.4	4.7		RefSeq:WP_210709922.1, SO:0001217, UniParc:UPI001B33A2A0, UniRef:UniRef100_UPI001B33A2A0, UniRef:UniRef50_UPI001B33A2A0, UniRef:UniRef90_UPI001B33A2A0
pQG3rel02_contig_1	11458	11694	-	pQG3rel02_00105	8.4	8.2		RefSeq:WP_210709920.1, SO:0001217, UniParc:UPI001B34303C, UniRef:UniRef100_UPI001B34303C, UniRef:UniRef50_UPI0006CC216C, UniRef:UniRef90_UPI0006CC216C
pQG3rel02_contig_1	17352	17777	-	pQG3rel02_00140	16.1	9.3		
pQG3rel02_contig_1	31690	31914	-	pQG3rel02_00220	8.0	9.3		
pQG3rel02_contig_1	40492	40773	-	pQG3rel02_00260	10.4	9.4		
pQG3rel02_contig_1	43117	43545	-	pQG3rel02_00290	16.5	7.8		RefSeq:WP_210709905.1, SO:0001217, UniParc:UPI001B32EB1B, UniRef:UniRef100_UPI001B32EB1B, UniRef:UniRef50_UPI001B32EB1B, UniRef:UniRef90_UPI001B32EB1B
pQG3rel02_contig_1	44919	45182	-	pQG3rel02_00305	9.8	5.8		
pQG3rel02_contig_1	49335	49658	-	pQG3rel02_00335	11.6	9.5		
pQG3rel02_contig_1	94739	95074	+	pQG3rel02_00540	12.1	5.8		RefSeq:WP_210709878.1, SO:0001217, UniParc:UPI001B33B7FC, UniRef:UniRef100_UPI001B33B7FC, UniRef:UniRef50_UPI001B33B7FC, UniRef:UniRef90_UPI001B33B7FC
pQG3rel02_contig_1	95794	96051	+	pQG3rel02_00550	9.0	10.3		
pQG3rel02_contig_1	102078	102479	-	pQG3rel02_00585	15.3	10.5		
pQG3rel02_contig_1	119967	120224	-	pQG3rel02_00660	9.3	11.2		SO:0001217, UniRef:UniRef50_UPI001FF082BD, UniRef:UniRef90_UPI001FF082BD
pQG3rel02_contig_1	121015	121323	-	pQG3rel02_00665	11.9	6.6		RefSeq:WP_210709744.1, SO:0001217, UniParc:UPI001B3407A5, UniRef:UniRef100_UPI001B3407A5, UniRef:UniRef50_UPI001B3407A5, UniRef:UniRef90_UPI001B3407A5
pQG3rel02_contig_1	122114	122293	-	pQG3rel02_00670	6.4	5.7		
pQG3rel02_contig_1	130002	130325	+	pQG3rel02_00680	11.8	8.9		
pQG3rel02_contig_1	130261	130410	-	pQG3rel02_00685	5.0	5.3		
pQG3rel02_contig_1	130772	131212	+	pQG3rel02_00690	16.1	12.0		
pQG3rel02_contig_1	134740	135156	+	pQG3rel02_00710	15.5	5.0		RefSeq:WP_210709739.1, SO:0001217, UniParc:UPI001B31B2CD, UniRef:UniRef100_UPI001B31B2CD, UniRef:UniRef50_UPI001130E42D, UniRef:UniRef90_UPI001B31B2CD
pQG3rel02_contig_1	135201	135455	-	pQG3rel02_00715	9.3	8.4		SO:0001217, UniRef:UniRef50_UPI0011311B5E, UniRef:UniRef90_UPI0011311B5E
pQG3rel02_contig_1	136086	136823	+	pQG3rel02_00720	26.9	7.7		SO:0001217, UniRef:UniRef50_UPI001B321AA6, UniRef:UniRef90_UPI001B321AA6
pQG3rel02_contig_1	137594	137902	-	pQG3rel02_00725	10.8	6.7		
pQG3rel02_contig_1	141453	141737	-	pQG3rel02_00735	9.8	4.2		
pQG3rel02_contig_1	141805	142701	+	pQG3rel02_00740	31.9	10.6		
pQG3rel02_contig_1	142821	142976	-	pQG3rel02_00745	5.5	10.1		
pQG3rel02_contig_1	143510	144001	+	pQG3rel02_00750	17.8	9.9		
pQG3rel02_contig_1	144920	147016	+	pQG3rel02_00755	79.8	6.0		RefSeq:WP_210709964.1, SO:0001217, UniParc:UPI001B345690, UniRef:UniRef100_UPI001B345690, UniRef:UniRef50_UPI001B345690, UniRef:UniRef90_UPI001B345690
pQG3rel02_contig_1	146995	148266	+	pQG3rel02_00760	48.6	6.9		SO:0001217, UniRef:UniRef50_UPI001B341BB0, UniRef:UniRef90_UPI001B341BB0
pQG3rel02_contig_1	150528	150890	+	pQG3rel02_00785	13.0	8.6		
