#Annotated with Bakta v1.8.2, https://github.com/oschwengers/bakta
#Database v5.0, https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Start	Stop	Strand	Locus Tag	Mol Weight [kDa]	Iso El. Point	Pfam hits	Dbxrefs
pQBR11_contig_1	16425	16994	+	PQBR11_00135	20.4	8.6		SO:0001217, UniRef:UniRef50_UPI0018675808, UniRef:UniRef90_UPI0018675808
pQBR11_contig_1	18321	18689	+	PQBR11_00150	12.7	8.6		
pQBR11_contig_1	20146	20364	+	PQBR11_00170	8.4	10.5		
pQBR11_contig_1	49439	49537	+	PQBR11_00290	3.6	8.4		
pQBR11_contig_1	93960	94199	+	PQBR11_00495	9.0	5.7		
pQBR11_contig_1	113102	113287	-	PQBR11_00600	7.0	5.1		
pQBR11_contig_1	120516	120734	-	PQBR11_00640	7.7	10.8		
pQBR11_contig_1	127630	127899	-	PQBR11_00680	9.6	4.3		
pQBR11_contig_1	139697	139981	+	PQBR11_00770	10.5	4.8		RefSeq:WP_192963310.1, SO:0001217, UniParc:UPI001867A904, UniRef:UniRef100_UPI001867A904, UniRef:UniRef50_UPI001867A904, UniRef:UniRef90_UPI001867A904
pQBR11_contig_1	193101	193220	-	PQBR11_01085	4.5	8.9		
pQBR11_contig_1	209249	209755	+	PQBR11_01180	18.0	11.3		
pQBR11_contig_1	213500	214525	-	PQBR11_01210	37.9	9.9		
pQBR11_contig_1	214788	214916	-	PQBR11_01220	4.6	11.7		RefSeq:WP_023082812.1, SO:0001217, UniParc:UPI0003B9732F, UniRef:UniRef100_A0A1H0XKA2, UniRef:UniRef50_A0A1H0XKA2, UniRef:UniRef90_A0A1H0XKA2
pQBR11_contig_1	261052	261453	+	PQBR11_01475	14.2	6.4		
pQBR11_contig_1	266237	266503	+	PQBR11_01505	10.4	6.1		RefSeq:WP_192963381.1, SO:0001217, UniParc:UPI0006557034, UniRef:UniRef100_A0A0G4E4U7, UniRef:UniRef50_A0A0G4E4U7, UniRef:UniRef90_A0A0G4E4U7
pQBR11_contig_1	292763	292990	+	PQBR11_01710	8.3	9.7		RefSeq:WP_192963417.1, SO:0001217, UniParc:UPI001868CA40, UniRef:UniRef100_UPI001868CA40, UniRef:UniRef50_UPI001868CA40, UniRef:UniRef90_UPI001868CA40
pQBR11_contig_1	305646	305879	-	PQBR11_01830	8.5	7.8		RefSeq:WP_192963439.1, SO:0001217, UniParc:UPI0018695D22, UniRef:UniRef100_UPI0018695D22, UniRef:UniRef50_UPI0018695D22, UniRef:UniRef90_UPI0018695D22
pQBR11_contig_1	312743	312973	-	PQBR11_01890	8.0	9.7		
pQBR11_contig_1	313636	313884	+	PQBR11_01905	9.6	9.7		
pQBR11_contig_1	314721	314981	+	PQBR11_01915	9.4	10.8		
pQBR11_contig_1	323038	323142	-	PQBR11_01990	3.5	8.5		
pQBR11_contig_1	323545	323712	-	PQBR11_02000	6.1	4.4		
pQBR11_contig_1	333912	334436	-	PQBR11_02090	18.4	6.7		
pQBR11_contig_1	340150	340485	+	PQBR11_02150	12.0	5.1		RefSeq:WP_192963494.1, SO:0001217, UniParc:UPI0018663920, UniRef:UniRef100_UPI0018663920, UniRef:UniRef50_UPI0018663920, UniRef:UniRef90_UPI0018663920
pQBR11_contig_1	344058	344195	+	PQBR11_02180	4.8	11.0		
pQBR11_contig_1	363812	364492	-	PQBR11_02310	24.8	11.1		
