#Annotated with Bakta v1.8.2, https://github.com/oschwengers/bakta
#Database v5.0, https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Start	Stop	Strand	Locus Tag	Mol Weight [kDa]	Iso El. Point	Pfam hits	Dbxrefs
pQBR43d_contig_1	50861	50986	-	PQBR43D_00270	4.3	5.5		
pQBR43d_contig_1	110876	111085	-	PQBR43D_00545	6.9	4.5		
pQBR43d_contig_1	112316	112453	+	PQBR43D_00560	4.8	6.0		
pQBR43d_contig_1	114036	114191	+	PQBR43D_00585	5.7	4.5		RefSeq:WP_234288219.1, SO:0001217, UniParc:UPI001F17EDEF, UniRef:UniRef100_UPI001F17EDEF, UniRef:UniRef50_UPI001F17EDEF, UniRef:UniRef90_UPI001F17EDEF
pQBR43d_contig_1	138749	139159	-	PQBR43D_00705	14.9	4.9		
pQBR43d_contig_1	161084	161278	-	PQBR43D_00820	6.6	4.5		
pQBR43d_contig_1	183803	183922	+	PQBR43D_00945	4.5	8.9		
pQBR43d_contig_1	228959	229192	+	PQBR43D_01190	8.4	6.0		RefSeq:WP_193069103.1, SO:0001217, UniParc:UPI0018676085, UniRef:UniRef100_UPI0018676085, UniRef:UniRef50_UPI0018676085, UniRef:UniRef90_UPI0018676085
pQBR43d_contig_1	250480	250908	-	PQBR43D_01330	15.8	4.4		RefSeq:WP_193069118.1, SO:0001217, UniParc:UPI00186696EF, UniRef:UniRef100_UPI00186696EF, UniRef:UniRef50_UPI00186696EF, UniRef:UniRef90_UPI00186696EF
pQBR43d_contig_1	250935	251570	-	PQBR43D_01335	22.4	6.0		SO:0001217, UniRef:UniRef50_UPI0003027605, UniRef:UniRef90_UPI0003027605
pQBR43d_contig_1	251955	252272	-	PQBR43D_01345	12.0	9.7		RefSeq:WP_193069121.1, SO:0001217, UniParc:UPI00186740E3, UniRef:UniRef100_UPI00186740E3, UniRef:UniRef50_A0A166QN72, UniRef:UniRef90_UPI00186740E3
pQBR43d_contig_1	252703	252912	+	PQBR43D_01350	6.9	4.5		
pQBR43d_contig_1	259067	259162	-	PQBR43D_01385	3.5	10.8		
pQBR43d_contig_1	289112	289285	-	PQBR43D_01565	6.4	9.2		
pQBR43d_contig_1	307383	307571	+	PQBR43D_01670	6.6	8.8		
pQBR43d_contig_1	315702	315887	+	PQBR43D_01745	6.7	8.1		RefSeq:WP_193068968.1, SO:0001217, UniParc:UPI001867877B, UniRef:UniRef100_UPI001867877B, UniRef:UniRef50_A0A3M3DPV0, UniRef:UniRef90_UPI001867877B
pQBR43d_contig_1	318435	318596	-	PQBR43D_01770	5.7	5.8		RefSeq:WP_193068971.1, SO:0001217, UniParc:UPI00186823AD, UniRef:UniRef100_UPI00186823AD, UniRef:UniRef50_UPI00186823AD, UniRef:UniRef90_UPI00186823AD
pQBR43d_contig_1	326839	327006	-	PQBR43D_01840	6.1	11.6		
pQBR43d_contig_1	380563	380682	-	PQBR43D_02210	4.5	8.9		
pQBR43d_contig_1	387451	387735	-	PQBR43D_02245	10.5	4.5		
pQBR43d_contig_1	414272	414391	-	PQBR43D_02390	4.5	8.9		
pQBR43d_contig_1	454488	454634	+	PQBR43D_02655	5.4	8.3		
pQBR43d_contig_1	464834	464998	-	PQBR43D_02730	5.6	9.4		SO:0001217, UniRef:UniRef50_UPI0009F497D4, UniRef:UniRef90_UPI0009F497D4
pQBR43d_contig_1	476582	477175	-	PQBR43D_02815	21.6	9.1		
pQBR43d_contig_1	491759	492037	-	PQBR43D_02905	10.1	10.8		
