#Annotated with Bakta v1.8.2, https://github.com/oschwengers/bakta
#Database v5.0, https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Start	Stop	Strand	Locus Tag	Mol Weight [kDa]	Iso El. Point	Pfam hits	Dbxrefs
pQBR47_contig_1	112316	112453	+	PQBR47_00525	4.8	6.0		
pQBR47_contig_1	114036	114191	+	PQBR47_00550	5.7	4.5		RefSeq:WP_234288219.1, SO:0001217, UniParc:UPI001F17EDEF, UniRef:UniRef100_UPI001F17EDEF, UniRef:UniRef50_UPI001F17EDEF, UniRef:UniRef90_UPI001F17EDEF
pQBR47_contig_1	138749	139159	-	PQBR47_00660	14.9	4.9		
pQBR47_contig_1	168182	168589	-	PQBR47_00805	13.9	6.0		RefSeq:WP_193069093.1, SO:0001217, UniParc:UPI0018672756, UniRef:UniRef100_UPI0018672756, UniRef:UniRef50_UPI0018672756, UniRef:UniRef90_UPI0018672756
pQBR47_contig_1	183799	183918	+	PQBR47_00875	4.5	8.9		
pQBR47_contig_1	186899	187039	-	PQBR47_00895	5.0	4.9		
pQBR47_contig_1	221823	221945	+	PQBR47_01100	4.6	8.0		
pQBR47_contig_1	237065	237211	+	PQBR47_01210	5.4	8.3		
pQBR47_contig_1	306458	306598	+	PQBR47_01625	5.0	4.9		
pQBR47_contig_1	309579	309698	-	PQBR47_01645	4.5	8.9		
pQBR47_contig_1	355524	355775	-	PQBR47_01845	9.6	9.5		SO:0001217, UniParc:UPI00089C90CC, UniRef:UniRef100_A0A2J7YAK7, UniRef:UniRef50_A0A2J7YAK7, UniRef:UniRef90_A0A2J7YAK7
pQBR47_contig_1	414033	414329	+	PQBR47_02120	10.4	9.7		
pQBR47_contig_1	1043014	1043199	+	PQBR47_05000	6.7	10.4		
pQBR47_contig_1	1083122	1083280	+	PQBR47_05235	5.8	9.0		
pQBR47_contig_1	1084346	1084483	-	PQBR47_05250	5.2	4.5		
pQBR47_contig_1	1092737	1093444	+	PQBR47_05310	25.8	6.1	PF04828.17|GFA	PFAM:PF04828.17
pQBR47_contig_1	1121532	1122353	-	PQBR47_05445	29.6	11.7		
pQBR47_contig_1	1211620	1211907	+	PQBR47_05910	10.7	9.0		
pQBR47_contig_1	1609919	1610014	-	PQBR47_07675	3.5	5.1		
pQBR47_contig_1	1609990	1610121	-	PQBR47_07680	4.8	4.3		SO:0001217, UniRef:UniRef50_A0A2I0CC34, UniRef:UniRef90_A0A2I0CC34
pQBR47_contig_1	1615574	1615768	-	PQBR47_07715	7.1	9.2		
pQBR47_contig_1	1668382	1668846	+	PQBR47_07950	16.7	8.8		
pQBR47_contig_1	1668972	1669277	+	PQBR47_07955	11.0	5.5		
pQBR47_contig_1	1703182	1703784	+	PQBR47_08115	19.7	4.4		SO:0001217, UniParc:UPI000000EE08, UniRef:UniRef100_Q88NL4, UniRef:UniRef50_A0A2J7YLG3, UniRef:UniRef90_A0A2J7YLG3
pQBR47_contig_1	1764910	1765647	-	PQBR47_08445	26.8	11.6		
pQBR47_contig_1	2352416	2352889	+	PQBR47_11240	17.2	9.0		
pQBR47_contig_1	2498287	2498481	-	PQBR47_11900	7.2	4.5		
pQBR47_contig_1	2553812	2553970	-	PQBR47_12160	5.9	10.6		
pQBR47_contig_1	2638024	2638185	+	PQBR47_12560	5.7	10.3		
pQBR47_contig_1	2750411	2750608	+	PQBR47_13025	7.5	10.6		RefSeq:WP_010953112.1, SO:0001217, UniParc:UPI000000F18D, UniRef:UniRef100_A0A8F8G3X9, UniRef:UniRef50_A0A5F0W966, UniRef:UniRef90_A0A8F8G3X9
pQBR47_contig_1	2796082	2796327	+	PQBR47_13225	8.6	5.9		
