#Annotated with Bakta v1.8.2, https://github.com/oschwengers/bakta
#Database v5.0, https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Start	Stop	Strand	Locus Tag	Mol Weight [kDa]	Iso El. Point	Pfam hits	Dbxrefs
pQBR30_contig_1	16425	16994	+	PQBR30_00135	20.4	8.6		SO:0001217, UniRef:UniRef50_UPI0018675808, UniRef:UniRef90_UPI0018675808
pQBR30_contig_1	18321	18689	+	PQBR30_00150	12.7	8.6		
pQBR30_contig_1	20146	20364	+	PQBR30_00170	8.4	10.5		
pQBR30_contig_1	49439	49537	+	PQBR30_00290	3.6	8.4		
pQBR30_contig_1	93960	94199	+	PQBR30_00495	9.0	5.7		
pQBR30_contig_1	106104	106289	-	PQBR30_00545	7.0	5.1		
pQBR30_contig_1	113206	113640	+	PQBR30_00580	15.4	7.8		
pQBR30_contig_1	113960	114178	-	PQBR30_00590	7.7	11.5		
pQBR30_contig_1	121074	121343	-	PQBR30_00630	9.6	4.3		
pQBR30_contig_1	122229	122684	-	PQBR30_00640	16.2	9.2		
pQBR30_contig_1	135411	136055	-	PQBR30_00735	23.9	5.4	PF18406.4|DUF1281_C	PFAM:PF18406.4
pQBR30_contig_1	197433	197639	+	PQBR30_01095	7.3	5.4		SO:0001217, UniRef:UniRef50_A0A0G4E5A6, UniRef:UniRef90_A0A0G4E5A6
pQBR30_contig_1	202527	202793	+	PQBR30_01125	10.4	6.7		SO:0001217, UniRef:UniRef50_A0A0G4E4U7, UniRef:UniRef90_A0A0G4E4U7
pQBR30_contig_1	205550	205786	+	PQBR30_01160	8.5	4.2		
pQBR30_contig_1	213943	214179	+	PQBR30_01210	8.4	9.6		
pQBR30_contig_1	216690	217169	+	PQBR30_01220	18.4	6.7		
pQBR30_contig_1	242584	242817	-	PQBR30_01420	8.5	7.8		RefSeq:WP_192963439.1, SO:0001217, UniParc:UPI0018695D22, UniRef:UniRef100_UPI0018695D22, UniRef:UniRef50_UPI0018695D22, UniRef:UniRef90_UPI0018695D22
pQBR30_contig_1	249681	249911	-	PQBR30_01480	8.0	9.7		
pQBR30_contig_1	250574	250822	+	PQBR30_01495	9.6	9.7		
pQBR30_contig_1	251659	251919	+	PQBR30_01505	9.4	10.8		
pQBR30_contig_1	259976	260080	-	PQBR30_01580	3.5	8.5		
pQBR30_contig_1	260483	260650	-	PQBR30_01590	6.1	4.4		
pQBR30_contig_1	270849	271373	-	PQBR30_01680	18.4	6.7		
pQBR30_contig_1	277087	277422	+	PQBR30_01740	12.0	5.1		RefSeq:WP_192963494.1, SO:0001217, UniParc:UPI0018663920, UniRef:UniRef100_UPI0018663920, UniRef:UniRef50_UPI0018663920, UniRef:UniRef90_UPI0018663920
pQBR30_contig_1	280995	281132	+	PQBR30_01770	4.8	11.0		
pQBR30_contig_1	301656	301901	-	PQBR30_01920	8.9	9.5		
pQBR30_contig_1	307750	308430	-	PQBR30_01950	24.8	11.1		
