#Annotated with Bakta v1.8.2, https://github.com/oschwengers/bakta
#Database v5.0, https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Start	Stop	Strand	Locus Tag	Mol Weight [kDa]	Iso El. Point	Pfam hits	Dbxrefs
pQBR132_contig_1	4929	5171	+	PQBR132_00020	8.1	7.9		
pQBR132_contig_1	6418	6555	-	PQBR132_00030	4.9	10.6		
pQBR132_contig_1	8664	8966	-	PQBR132_00060	11.2	4.1		
pQBR132_contig_1	10382	10711	-	PQBR132_00080	11.6	6.8		
pQBR132_contig_1	11010	11225	-	PQBR132_00090	7.9	6.0		
pQBR132_contig_1	11260	11559	-	PQBR132_00095	10.9	5.1		
pQBR132_contig_1	21834	22187	+	PQBR132_00155	13.1	9.3		
pQBR132_contig_1	33352	33558	-	PQBR132_00225	7.3	5.1		
pQBR132_contig_1	35722	36105	+	PQBR132_00240	14.1	4.9		
pQBR132_contig_1	53264	53548	-	PQBR132_00340	11.1	9.9		
pQBR132_contig_1	68976	69086	-	PQBR132_00450	3.7	6.0		
pQBR132_contig_1	71533	71766	+	PQBR132_00470	8.6	4.7		
pQBR132_contig_1	72672	72980	+	PQBR132_00490	11.5	10.8		
pQBR132_contig_1	110296	110514	-	PQBR132_00655	8.3	10.2		
pQBR132_contig_1	112288	112524	+	PQBR132_00680	8.8	6.0		SO:0001217, UniRef:UniRef50_UPI001C7CA06B, UniRef:UniRef90_UPI0018E85E25
pQBR132_contig_1	115210	115476	-	PQBR132_00690	9.6	5.1		
pQBR132_contig_1	126303	126428	+	PQBR132_00775	4.8	10.2		
pQBR132_contig_1	133394	133702	-	PQBR132_00845	11.4	9.6		
