# Annotated with Bakta
# Software: v1.8.2
# Database: v5.0, full
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
pQBR55R_contig_1	cds	1	1524	+	PQBR55R_00005	dnaB	replicative DNA helicase	SO:0001217, UniRef:UniRef50_A0A522M6A2, UniRef:UniRef90_A0A1E4WYE3
pQBR55R_contig_1	cds	1598	2992	+	PQBR55R_00010	dnaB	replicative DNA helicase	COG:COG0305, COG:L, RefSeq:WP_011031943.1, SO:0001217, UniParc:UPI00000B08E2, UniRef:UniRef100_A0A0G4E5K8, UniRef:UniRef50_A0A0H3YZB3, UniRef:UniRef90_A0A7X2RT33
pQBR55R_contig_1	cds	3077	3301	-	PQBR55R_00015	vbhA	VbhA domain-containing protein	RefSeq:WP_176456040.1, SO:0001217, UniParc:UPI00065554B3, UniRef:UniRef100_A0A0G4E5F5, UniRef:UniRef50_A0A0E3B9Q4, UniRef:UniRef90_A0A0G4E5F5
pQBR55R_contig_1	cds	3395	3685	-	PQBR55R_00020		tRNA-synt-2c domain-containing protein	RefSeq:WP_011031945.1, SO:0001217, UniParc:UPI00000B44C8, UniRef:UniRef100_A0A0G4E5E1, UniRef:UniRef50_A0A0G4E5E1, UniRef:UniRef90_A0A0G4E5E1
pQBR55R_contig_1	cds	3866	4369	-	PQBR55R_00025		Phage protein	RefSeq:WP_011031946.1, SO:0001217, UniParc:UPI00000B92BA, UniRef:UniRef100_A0A0G4E663, UniRef:UniRef50_A0A0G4E663, UniRef:UniRef90_A0A0G4E663
pQBR55R_contig_1	cds	4380	4616	-	PQBR55R_00030		Phage protein	RefSeq:WP_192959839.1, SO:0001217, UniParc:UPI00065578D4, UniRef:UniRef100_A0A0G4E606, UniRef:UniRef50_A0A0G4E606, UniRef:UniRef90_A0A0G4E606
pQBR55R_contig_1	cds	4745	5071	-	PQBR55R_00035		Iron ABC transporter permease	RefSeq:WP_176456041.1, SO:0001217, UniParc:UPI00000BB758, UniRef:UniRef100_A0A0G4E5L4, UniRef:UniRef50_A0A0G4E5L4, UniRef:UniRef90_A0A0G4E5L4
pQBR55R_contig_1	cds	5106	5297	-	PQBR55R_00040		Inorganic phosphate transporter	RefSeq:WP_176456042.1, SO:0001217, UniParc:UPI00065629D5, UniRef:UniRef100_A0A0G4E5E3, UniRef:UniRef50_A0A0G4E5E3, UniRef:UniRef90_A0A0G4E5E3
pQBR55R_contig_1	cds	5482	5646	-	PQBR55R_00045	ccmD	CcmD family protein	SO:0001217, UniParc:UPI0006551CE2, UniRef:UniRef100_A0A0G4E667, UniRef:UniRef50_A0A0G4E667, UniRef:UniRef90_A0A0G4E667
pQBR55R_contig_1	cds	6033	6206	-	PQBR55R_00050	tssA	Type VI secretion system protein TssA	RefSeq:WP_176456043.1, SO:0001217, UniParc:UPI000654E8ED, UniRef:UniRef100_A0A0G4E5L9, UniRef:UniRef50_A0A0G4E5L9, UniRef:UniRef90_A0A0G4E5L9
pQBR55R_contig_1	cds	6288	6767	-	PQBR55R_00055		Histidine kinase	SO:0001217, UniParc:UPI000655E497, UniRef:UniRef100_A0A0G4E5G2, UniRef:UniRef50_A0A1E4WXA2, UniRef:UniRef90_A0A1E4WXA2
pQBR55R_contig_1	cds	6880	7071	-	PQBR55R_00060		Holin	RefSeq:WP_176456045.1, SO:0001217, UniParc:UPI000655E470, UniRef:UniRef100_A0A0G4E5E7, UniRef:UniRef50_A0A0G4E5E7, UniRef:UniRef90_A0A0G4E5E7
pQBR55R_contig_1	cds	7138	7515	-	PQBR55R_00065		Phage holin, lambda family	SO:0001217, UniRef:UniRef50_A0A1E4WXC0, UniRef:UniRef90_A0A1E4WXC0
