#Annotated with Bakta v1.8.2, https://github.com/oschwengers/bakta
#Database v5.0, https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Start	Stop	Strand	Locus Tag	Mol Weight [kDa]	Iso El. Point	Pfam hits	Dbxrefs
pQBR103_contig_1	39466	39624	+	PQBR103_00200	6.1	5.9		
pQBR103_contig_1	50861	50986	-	PQBR103_00275	4.3	5.5		
pQBR103_contig_1	110876	111085	-	PQBR103_00550	6.9	4.5		
pQBR103_contig_1	112316	112453	+	PQBR103_00565	4.8	6.0		
pQBR103_contig_1	114036	114191	+	PQBR103_00590	5.7	4.5		RefSeq:WP_234288219.1, SO:0001217, UniParc:UPI001F17EDEF, UniRef:UniRef100_UPI001F17EDEF, UniRef:UniRef50_UPI001F17EDEF, UniRef:UniRef90_UPI001F17EDEF
pQBR103_contig_1	138749	139159	-	PQBR103_00710	14.9	4.8		
pQBR103_contig_1	161078	161272	-	PQBR103_00825	6.6	4.5		
pQBR103_contig_1	186916	187149	+	PQBR103_00980	8.4	6.0		RefSeq:WP_193069103.1, SO:0001217, UniParc:UPI0018676085, UniRef:UniRef100_UPI0018676085, UniRef:UniRef50_UPI0018676085, UniRef:UniRef90_UPI0018676085
pQBR103_contig_1	208434	208862	-	PQBR103_01120	15.8	4.4		RefSeq:WP_193069118.1, SO:0001217, UniParc:UPI00186696EF, UniRef:UniRef100_UPI00186696EF, UniRef:UniRef50_UPI00186696EF, UniRef:UniRef90_UPI00186696EF
pQBR103_contig_1	208889	209524	-	PQBR103_01125	22.4	6.0		SO:0001217, UniRef:UniRef50_UPI0003027605, UniRef:UniRef90_UPI0003027605
pQBR103_contig_1	209909	210226	-	PQBR103_01135	12.0	9.7		RefSeq:WP_193069121.1, SO:0001217, UniParc:UPI00186740E3, UniRef:UniRef100_UPI00186740E3, UniRef:UniRef50_A0A166QN72, UniRef:UniRef90_UPI00186740E3
pQBR103_contig_1	210657	210866	+	PQBR103_01140	6.9	4.5		
pQBR103_contig_1	217024	217119	-	PQBR103_01175	3.5	10.8		
pQBR103_contig_1	247069	247242	-	PQBR103_01355	6.4	9.2		
pQBR103_contig_1	265352	265540	+	PQBR103_01460	6.6	8.8		
pQBR103_contig_1	273671	273856	+	PQBR103_01535	6.7	8.1		RefSeq:WP_193068968.1, SO:0001217, UniParc:UPI001867877B, UniRef:UniRef100_UPI001867877B, UniRef:UniRef50_A0A3M3DPV0, UniRef:UniRef90_UPI001867877B
pQBR103_contig_1	276404	276565	-	PQBR103_01560	5.7	5.8		RefSeq:WP_193068971.1, SO:0001217, UniParc:UPI00186823AD, UniRef:UniRef100_UPI00186823AD, UniRef:UniRef50_UPI00186823AD, UniRef:UniRef90_UPI00186823AD
pQBR103_contig_1	284823	284981	-	PQBR103_01630	5.9	11.3		RefSeq:WP_193068978.1, SO:0001217, UniParc:UPI001865CA54, UniRef:UniRef100_UPI001865CA54, UniRef:UniRef50_UPI001865CA54, UniRef:UniRef90_UPI001865CA54
pQBR103_contig_1	295680	296009	+	PQBR103_01730	12.0	4.7		RefSeq:WP_193068987.1, SO:0001217, UniParc:UPI0002FAFB62, UniRef:UniRef100_UPI0002FAFB62, UniRef:UniRef50_UPI0002FAFB62, UniRef:UniRef90_UPI0002FAFB62
pQBR103_contig_1	296006	296095	+	PQBR103_01735	3.3	8.1		
pQBR103_contig_1	310615	310728	+	PQBR103_01860	4.3	6.5		
pQBR103_contig_1	399212	399490	-	PQBR103_02535	10.1	10.8		
